empresa,ticker,data_publicacao,fonte,tipo,titulo,url,snippet_ou_trecho,sentimento,tags,severidade,resumo_curto
OceanPact,OPCT3,2026-03-30T23:03:00+00:00,Google News,noticia,Oceanpact (OPCT3) aprova recompra de ações e fusão com CBO Holding - Investidor10,https://news.google.com/rss/articles/CBMirgFBVV95cUxNQk15aTFNdWVwcEFlU0t4S3BocjBYVy0yajd6R2lDS0o5UmptX19EdVR4R2ZYRWo4amFiaXVhY3ZRTnowMXFRN2tFbWNldDFUYUdCb0xmWEw0YlkwcExVOFhOVngteU9BRnZrenBtUE0wQkxoREt6NEl3S1phZS1ZQXpYRFRrQ3dFVWZJYmQ2U2FFMHBqeVdudzRhNDZ1eW5rMUJOWjdDUE1KT2xwQUHSAbMBQVVfeXFMTlpUYmlPS29DMWpHdHl5ai05Sy1SMGRxLVFHY2ljak5nWERTbUFfOXNMUGNQbEE1NmtyLU5ELXVidktHVldFLTVmSDFhbHdfaWFvTmpIR1ptN3l5YTFhRF9GWmQtaENiVmtsYkplNTFJTTV6cy03ZkxGZkpKSzlBVUl5OC1nUU1JOVJDR045MjN6dHVUZ1JhS19wZ3NZcVdtVW82Y2hka2VKTlFDblNCUV8wY1E?oc=5,Oceanpact (OPCT3) aprova recompra de ações e fusão com CBO Holding Investidor10,positivo,m&a_estrategia;governanca,2,Oceanpact (OPCT3) aprova recompra de ações e fusão com CBO Holding. O anúncio envolve duas ações estratégicas: programa de recompra de ações e combinação com a CBO Holding.
OceanPact,OPCT3,2026-03-31T15:41:47+00:00,Google News,noticia,OceanPact (OPCT3) avança em fusão e pode destravar valor no setor offshore - Guia do Investidor,https://news.google.com/rss/articles/CBMiswFBVV95cUxPNzR4dHF0d3BjNXVaSk9MU3dhdkpPNU93TWh3RXpjZEtpVTF2bHRqSUw4dEVYSWozYl9CRWRoeVZIWHBCbm50TFhSQWczRHdaaGNZVG4xYU9ONWpsMGRzdXNlUHBwNEVCd1RxYjVhOHFZX0VWSVNMeE5xcjV0ak02Wlo2SWRJVl9wbTFKMGwtMWxjR2FRM2U3MXdBSnkzSjNjc2ZDTU96dEhGYzhvd05vSEV6Zw?oc=5,OceanPact (OPCT3) avança em fusão e pode destravar valor no setor offshore Guia do Investidor,positivo,m&a_estrategia;setor_macro,2,OceanPact (OPCT3) avança em processo de fusão que pode gerar destrancamento de valor no setor offshore. A notícia aborda progresso em operação estratégica de fusão sem especificar dados quantitativos ou cronograma.
OceanPact,OPCT3,2026-03-30T21:43:00+00:00,Google News,noticia,OceanPact (OPCT3) aprova recompra de até 6 mi de ações ON - Visno Invest,https://news.google.com/rss/articles/CBMimAFBVV95cUxOWDNBdndITng4aWdWMlhibHViV3hQbzV6YlN0RUR4NV9FWmZnWGM3UXJuaktrSGlHNFdJV1d2Rm5FM1gwQ1FhX2ZKUDJBX0lJbEhiQUJvVE5RVkFmUlNIcW5wcVRxY3VheXlkeFhIcjI0cWdiUzcwbHZJZWpockh3ODQ3NkNXal9FRUtaNFppZVJlQlBGMVljUw?oc=5,OceanPact (OPCT3) aprova recompra de até 6 mi de ações ON Visno Invest,positivo,governanca,2,OceanPact aprovou programa de recompra de até 6 milhões de ações ordinárias. A medida visa otimizar a estrutura de capital da companhia.
OceanPact,OPCT3,2026-03-31T13:04:27+00:00,Google News,noticia,OceanPact aprova combinação com CBO e anuncia recompra de ações de até 3% do capital - ADVFN,https://news.google.com/rss/articles/CBMiakFVX3lxTE1XTTNLQUtaRDB1ZU9YUmFZRVBzTmM5NnpMbG81TzhNQ1dudy0zdGFuaGlVaHQwU19rUEEyaVowZ0h4VWE1N2F2cG8tWGhwTExybkpqdFR4a01XRnNhekFrSk00eU52SEh1TlE?oc=5,OceanPact aprova combinação com CBO e anuncia recompra de ações de até 3% do capital ADVFN,positivo,m&a_estrategia;governanca,2,OceanPact aprovou combinação com CBO e anunciou programa de recompra de ações de até 3% do capital. A operação representa movimento estratégico de consolidação e retorno de capital aos acionistas.
OceanPact,OPCT3,2026-03-30T21:23:55+00:00,Google News,noticia,Acionistas da CBO aprovam combinação de negócios Oceanpact - TradingView,https://news.google.com/rss/articles/CBMid0FVX3lxTFA2bHVCX2NGZktGNEwxLS03YmVJaDYzeGMwU3RjXzEwTFROdmZYdll2XzkwZ2h2emdXYnBNMTR1Wld2NmU3ejNXaEotbmZabktfMXVIaHBESlV6Tk5sc1J1RHg2N3FWOWhTMlZRT081Y0stZzlrOTJJ?oc=5,Acionistas da CBO aprovam combinação de negócios Oceanpact TradingView,positivo,m&a_estrategia;governanca,2,Acionistas da CBO aprovaram a combinação de negócios com a Oceanpact. Trata-se de uma operação de fusão/aquisição que recebeu aprovação em assembleia de acionistas.
OceanPact,OPCT3,2026-02-28T08:00:00+00:00,Google News,noticia,"Nova gigante à vista? OceanPact (OPCT3) anuncia fusão com CBO e cria potência de serviços marinhos com R$ 13,6 bilhões em contratos - Seu Dinheiro",https://news.google.com/rss/articles/CBMihAJBVV95cUxPTlpuVVB6SGpmUmkyUy1kLXducFF2WkdIU1R1b2ZOaEt5RTF1ckp3cTFvX0dUWlBYdlBfVjZ2cU9DVkIwVmQ0cER3QWlJcFZzLXhDdkJZYVhuLU5KY2RnUl9ZVE9rUVdNNEMyNGdFT3UzUTRTSzd6ZURmY3R0M0wwQkJtNm5CdGE0Nm9URVFNWnNzZTJubUFlblF3SEZOLVcxbDhoUVgzTzRNN21qaUt6MEY5bHRZLTBYQ21kNzU3b09LUXVKbk9iSUYtbGdFZXRaTlotcWMzOV9oTGxKNjNER0NyazNqbm9BUGc3d3JOT2NUbzFqaEhrN002eGVxSnBaUmJFVw?oc=5,"Nova gigante à vista? OceanPact (OPCT3) anuncia fusão com CBO e cria potência de serviços marinhos com R$ 13,6 bilhões em contratos Seu Dinheiro",positivo,m&a_estrategia;operacional_incidente,2,"OceanPact anuncia fusão com CBO, criando uma potência em serviços marinhos com R$ 13,6 bilhões em contratos acumulados."
OceanPact,OPCT3,2026-03-02T08:00:00+00:00,Google News,noticia,Oceanpact: ação fecha estável apesar de avaliação positiva sobre fusão com CBO - InfoMoney,https://news.google.com/rss/articles/CBMisgFBVV95cUxNSkUzTFJrM0ZIR2VCUWVPSlB4UW1DaXZCTWJTYWF1bnlqd1JzNms1VEV3cW1fb1RtakRRMGZDNmU0TGY2WFZpcEE1WGctN1E5bHJjNUF6aVEzaHF5SU15ejA1OHZiYUExcE8tU01tWGE4S3lCOU13bVNZaGFPeW5YZjdScHVaTE5WQmZDWVM2a0ZzUlQyUGM2WHF2Rm81bDNMUkpTTnIxUnpNMjZhWmVUSnRn0gG3AUFVX3lxTE92UUpiRTdXeGdLeWZJa0U2YS1QUWNpbFdvb3F6VEYycWpTYUowYl9Na0hGQnNrYXRKNlh6TEN3NWxBd1ZiZnVRcU9HZ01rZlA2NzZBaDgwT25oaDkwdTl6VERXLWQ1c2JHSzhULWxBcDhBTzlpMkV4MzNLNmhOb2RYcXNtaWRXcU5Ta1NXWll5MlliUTFDNHJVQTBZQTlUOTg5Q2xzMkJLeHNYR2dVWjl4NjFDeU9OWQ?oc=5,Oceanpact: ação fecha estável apesar de avaliação positiva sobre fusão com CBO InfoMoney,neutro,m&a_estrategia,1,Ação da Oceanpact fechou estável apesar de avaliação positiva sobre fusão com CBO. O mercado não reagiu significativamente à notícia positiva sobre a operação de fusão.
OceanPact,OPCT3,2026-02-27T08:00:00+00:00,Google News,noticia,"OceanPact (OPCT3) anuncia fusão com CBO e cria empresa de apoio marítimo com R$ 13,6 bilhões em contratos - Money Times",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNTEg0NE5qYXZXZk1DX2tYQTA2ZFNhWDdGVUYwam5BdnFLQXdUeWZNNWZBVXNCYmpKMkxlQTRRV2ZqbGxxUEhBLVVuVGs0czEzRWdRNG5Gaml0bnVxeHFFSWo1SWtCZTE1S0JpWmEySnFQSHhWRk1xR1l4Wm9oMHBhZDRJQ3NoMVNGcmJJZ1BvNEM2YXNsNmJvSTUzemJlNWU5RkNKQkg5MVBON0wxT3dLT1B0Y1ZVN0J3cm5naHBFTzcxNXdialQyM1d4V243c05rT3c?oc=5,"OceanPact (OPCT3) anuncia fusão com CBO e cria empresa de apoio marítimo com R$ 13,6 bilhões em contratos Money Times",positivo,m&a_estrategia;operacional_incidente,2,"OceanPact (OPCT3) anuncia fusão com CBO para criar empresa de apoio marítimo com R$ 13,6 bilhões em contratos. A operação representa expansão estratégica no segmento de serviços marítimos."
OceanPact,OPCT3,2026-03-30T21:37:07+00:00,Google News,noticia,OceanPact (OPCT3) aprova combinação de negócios com a CBO Holding - Visno Invest,https://news.google.com/rss/articles/CBMiowFBVV95cUxPV0ktMzFYR2lSQlBCRUVJYUhUZFVfSG01WUh2ZkVmXzV5eWRIYUZDQ3p1cFlIUHFGOExpaHlvTHZ4WThwSXl3STUxR2lhNl90MmpIX0o0Y2YtQUR4OHJyQnJQYkdzaHJUcTlETFNUTHlnTDZmMV9GblE4Zi1pYjN1clZ4VUo2ZjNfX1BpbWdQdjJkemxyWkoydGxqUWRIRFNxUThr?oc=5,OceanPact (OPCT3) aprova combinação de negócios com a CBO Holding Visno Invest,positivo,m&a_estrategia,2,OceanPact (OPCT3) aprovou uma combinação de negócios com a CBO Holding. O anúncio indica movimento estratégico de fusão ou integração entre as duas empresas.
OceanPact,OPCT3,2026-03-02T08:00:00+00:00,Google News,noticia,Fusão entre OceanPact e CBO deve elevar dividendos a acionistas - EuQueroInvestir,https://news.google.com/rss/articles/CBMingFBVV95cUxNZkxCNkZ2ZjZHQUxZMEhaWXJpWm5EbGRzVnNDUVJZeGpYVlFGdmlPWlNDSU9JdHcyYjNINDlna2Fkand5ODk5ZlEtdVlLMzJsdkxPdGVzMzhnUDBtOEtKUmZtSGYtMUhidjdkTG5jU0g3MnY2Vnhua3dmckhLZkVKelRSWlI2UmhmOXpUNkNZZUVrRm1LLVQxTzNLck55dw?oc=5,Fusão entre OceanPact e CBO deve elevar dividendos a acionistas EuQueroInvestir,positivo,m&a_estrategia,2,OceanPact e CBO anunciam fusão com perspectiva de elevação de dividendos aos acionistas. A operação busca criar sinergias que beneficiem a remuneração dos investidores.
